RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
182,Darrell Henderson Jr.,LAR,RB,15,0,0,0,624,5,16,159,1,0,0,0,0,7.6,114.3
183,Stephen Gostkowski,TEN,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7.6,114
184,Troy Hill,LAR,0,16,0,0,0,0,0,0,0,0,0,3,1,2,7.1,114
185,Adrian Phillips,NE,0,16,0,0,0,0,0,0,0,0,1,2,0,0,7.1,113.9
186,Tyler Boyd,CIN,WR,15,16,0,0,49,0,79,841,4,0,0,0,0,7.6,113.64
187,Chuck Clark,BAL,0,16,0,0,0,0,0,0,0,0,1.5,1,2,2,7.1,113.6
188,Keanu Neal,ATL,0,15,0,0,0,0,0,0,0,0,1,1,1,1,7.6,113.4
189,Latavius Murray,NO,RB,15,0,0,0,656,4,23,176,1,0,0,0,0,7.5,113.2
190,Jamison Crowder,NYJ,WR,12,43,1,0,14,0,59,699,6,0,0,0,0,9.4,113.02
191,Matt Prater,DET,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7.1,113
192,Kyle Van Noy,MIA,0,14,0,0,0,0,0,0,0,0,6,0,2,2,8,112.7
193,Taron Johnson,BUF,0,16,0,0,0,0,0,0,0,0,1,1,1,0,7,112.6
194,Adrian Peterson,DET,RB,16,0,0,0,604,7,12,101,0,0,0,0,0,7,112.5
195,Shaq Thompson,CAR,0,16,0,0,0,0,0,0,0,0,0,0,2,1,7,112.5
196,Jabrill Peppers,NYG,0,15,0,0,0,0,0,0,0,0,2.5,1,1,1,7.5,112.5
197,Mark Andrews,BAL,TE,14,0,0,0,0,0,58,701,7,0,0,0,0,8,112.1
198,Nick Folk,NE,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112
199,Michael Badgley,LAC,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,112
200,Romeo Okwara,DET,0,16,0,0,0,0,0,0,0,0,10,0,2,1,7,111.9
201,Nicholas Morrow,LV,0,14,0,0,0,0,0,0,0,0,3,1,1,1,8,111.9
202,Jamie Collins Sr.,DET,0,14,0,0,0,0,0,0,0,0,1,1,3,1,8,111.6
203,J.D. McKissic,WAS,RB,16,0,0,0,365,1,80,589,2,0,0,0,0,7,111.4
204,Austin Ekeler,LAC,RB,10,0,0,0,530,1,54,403,2,0,0,0,0,11.1,111.3
205,Giovani Bernard,CIN,RB,16,0,0,0,416,3,47,355,3,0,0,0,0,6.9,111.1
206,Shaquil Barrett,TB,0,15,0,0,0,0,0,0,0,0,8,0,2,0,7.4,111.1
207,Kevin Byard,TEN,0,16,0,0,0,0,0,0,0,0,0,1,1,0,6.9,111
208,Antoine Winfield Jr.,TB,0,16,0,0,0,0,0,0,0,0,3,1,2,1,6.9,111
209,Marcus Maye,NYJ,0,16,0,0,0,0,0,0,0,0,2,2,2,2,6.9,110.6
210,Tim Patrick,DEN,WR,15,0,0,0,0,0,51,742,6,0,0,0,0,7.3,110.2
211,Josey Jewell,DEN,0,16,0,0,0,0,0,0,0,0,2,0,0,0,6.9,110.1
212,Kamren Curl,WAS,0,16,0,0,0,0,0,0,0,0,2,3,0,0,6.9,110.1
213,Kansas City Chiefs,KC,0,16,0,0,0,0,0,0,0,0,32,16,12,7,6.9,110
214,Russell Gage,ATL,WR,16,39,1,0,9,0,72,786,4,0,0,0,0,6.8,109.06
215,Leonard Floyd,LAR,0,16,0,0,0,0,0,0,0,0,10.5,0,0,2,6.8,108.7
